"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.mapk.kmapper.FiveArgsBenchmark.boundKMapper","thrpt",1,4,1881569.917368,167687.395455,"ops/s"
"com.mapk.kmapper.FiveArgsBenchmark.kMapper","thrpt",1,4,918028.638712,70749.739950,"ops/s"
"com.mapk.kmapper.FiveArgsBenchmark.manual","thrpt",1,4,51043446.918027,1701820.524194,"ops/s"
"com.mapk.kmapper.FiveArgsBenchmark.mapStruct","thrpt",1,4,43095032.184320,1673529.682347,"ops/s"
"com.mapk.kmapper.FiveArgsBenchmark.mapStructConstructor","thrpt",1,4,41170101.739225,10857918.051544,"ops/s"
"com.mapk.kmapper.FiveArgsBenchmark.modelMapper","thrpt",1,4,152843.152278,24307.984032,"ops/s"
"com.mapk.kmapper.FiveArgsBenchmark.orika","thrpt",1,4,3631909.738694,99847.837715,"ops/s"
"com.mapk.kmapper.TwentyArgsBenchmark.boundKMapper","thrpt",1,4,529947.474597,20656.668570,"ops/s"
"com.mapk.kmapper.TwentyArgsBenchmark.kMapper","thrpt",1,4,226232.206693,22438.182831,"ops/s"
"com.mapk.kmapper.TwentyArgsBenchmark.manual","thrpt",1,4,21821032.043368,458163.892894,"ops/s"
"com.mapk.kmapper.TwentyArgsBenchmark.mapStruct","thrpt",1,4,22312415.192989,477644.646721,"ops/s"
"com.mapk.kmapper.TwentyArgsBenchmark.mapStructConstructor","thrpt",1,4,18087503.877352,1605482.475237,"ops/s"
"com.mapk.kmapper.TwentyArgsBenchmark.modelMapper","thrpt",1,4,40300.300239,5979.842818,"ops/s"
"com.mapk.kmapper.TwentyArgsBenchmark.orika","thrpt",1,4,3151262.013822,221691.985288,"ops/s"
"com.mapk.krowmapper.FiveArgsBenchmark.beanPropertyRowMapper","thrpt",1,4,112537.258680,5462.587600,"ops/s"
"com.mapk.krowmapper.FiveArgsBenchmark.kRowMapper","thrpt",1,4,1222436.555017,157389.056373,"ops/s"
"com.mapk.krowmapper.FiveArgsBenchmark.manual","thrpt",1,4,3273297.552117,638106.756246,"ops/s"
"com.mapk.krowmapper.TwentyArgsBenchmark.beanPropertyRowMapper","thrpt",1,4,15399.233907,1162.253765,"ops/s"
"com.mapk.krowmapper.TwentyArgsBenchmark.kRowMapper","thrpt",1,4,335197.138070,19255.629129,"ops/s"
"com.mapk.krowmapper.TwentyArgsBenchmark.manual","thrpt",1,4,760402.555052,15925.220716,"ops/s"
